mod_id,name_cn,local_name_en,notes,tags,nexus_url,title_en,author,category,summary,thumbnail,nexus_requirements
34624,沼泽的巫师农场建筑,,,#建筑,https://www.nexusmods.com/stardewvalley/mods/34624,Bog's Witchy Farm Buildings,BogWyytch and Abagaianye,未知分类,"ITS FINALLY HERE bundled together and full complete set of my Witchy Farm Buildings! SEASONAL VARIANTS GALORE and config options to customize a little bit further. For the goblins, witches, forest folk and ghouls.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/34624.png,
27631,沼泽农场地图,,,#地图,https://www.nexusmods.com/stardewvalley/mods/27631,Aimon's Small Swamp Farm,Aimon111,未知分类,A small swamp themed farm map with some special tweaks and features.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/27631.png,
28948,沼泽地图的泥土和草重新着色,,,#地图,https://www.nexusmods.com/stardewvalley/mods/28948,Aimon's Witchy Dirt and Grass Recolor,Aimon111,未知分类,Changes dirt and grass colors into witchy swamp themed palettes. Fully configurable and compatible with other recolor mods!,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/28948.png,
30553,乡村农场建筑,,,#建筑,https://www.nexusmods.com/stardewvalley/mods/30553,Nano's Countryside Farm Buildings,NanoIsNotRobot,未知分类,"Retextures for farm buildings, including parts of SVE buildings",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/30553.png,
26892,HxW家具目录,,,#家具,https://www.nexusmods.com/stardewvalley/mods/26892,HxW Everything Catalogue,Himetarts and Wildflour,未知分类,Adds a catalogue that includes all HxW mods currently installed.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/26892.png,
28572,季节性传送塔和黄金钟,,,#机制类,https://www.nexusmods.com/stardewvalley/mods/28572,Seasonal Elfflower Obelisks and Goldclock,umganil,未知分类,更改了方尖碑和黄金钟的季节性外观,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/28572.png,
30073,魔法帽,,,#服饰,https://www.nexusmods.com/stardewvalley/mods/30073,FS Magic hat,vvyaoy,未知分类,一顶女巫的魔法帽,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/30073.png,
29703,季节性肖像美化,,,#肖像美化,https://www.nexusmods.com/stardewvalley/mods/29703,Fishking's All Seasonal Portraits,Fishking,未知分类,此版本的美化需要前置季节性服装 - 略带可爱美学,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/29703.png,
28968,Guxelbit的目录（原版风格家具）,,,#家具,https://www.nexusmods.com/stardewvalley/mods/28968,Guxelbit's Catalog,guxelbit,未知分类,Adds vanilla style furnitures to the game without replacing the original.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/28968.png,
29949,性转玛尼的行走图和肖像,,,#肖像美化,https://www.nexusmods.com/stardewvalley/mods/29949,WU-Bad Marnie,xiaowugogo,未知分类,,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/29949.jpeg,
28769,sve的马龙行走图和肖像,,,#肖像美化,https://www.nexusmods.com/stardewvalley/mods/28769,WU-Marlon and Gil for Stardew Valley Expanded,xiaowugogo,未知分类,,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/28769.jpeg,
29820,性转潘姆的行走图和肖像,,,#肖像美化,https://www.nexusmods.com/stardewvalley/mods/29820,WU-Pam,xiaowugogo,未知分类,,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/29820.jpeg,
26593,为星露谷添加魔法,,,#稀奇古怪mod,https://www.nexusmods.com/stardewvalley/mods/26593,Magic by Neosinf,Neosinf,未知分类,"The definitive magic experience for Stardew Valley 1.6. Six schools of magic, over twenty unique effects, with something fun for everybody!",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/26593.png,
29007,把马变成扫帚,,,#稀奇古怪mod,https://www.nexusmods.com/stardewvalley/mods/29007,Witch's Broom Horse Replacement,voltaek,未知分类,The witch visited your farm and transmogrified your horse to match her magic flying broom! Luckily it seems to still enjoy carrots and being ridden around the valley.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/29007.png,
6647,风效果,,,#稀奇古怪mod,https://www.nexusmods.com/stardewvalley/mods/6647,Wind Effects,Cat,未知分类,"Wind now blows through Stardew Valley. Watch your crops, grass, trees, and bushes sway in the breeze!",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/6647.png,
